ID	Startzeit	Fertigstellungszeit	E-Mail	Name	Aussprache	Aufwachsen	Lebensmittelpunkt	Alter
3	3.25.20 9:35:01	3.25.20 9:35:25	anonymous		karantäne	Sachsen	Sachsen	18-30
4	3.25.20 9:36:45	3.25.20 9:37:18	anonymous		karantäne	Baden-Württemberg	Berlin	31-40
5	3.25.20 9:36:53	3.25.20 9:37:31	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	31-40
6	3.25.20 9:40:46	3.25.20 9:41:09	anonymous		karantäne	Hamburg	Hamburg	31-40
7	3.25.20 9:43:50	3.25.20 9:45:03	anonymous		karantäne	Sachsen	Sachsen	18-30
8	3.25.20 9:43:08	3.25.20 9:45:15	anonymous		karantäne	Bayern	Schweiz	31-40
9	3.25.20 9:49:25	3.25.20 9:49:47	anonymous		karantäne	Schleswig-Holstein	Schleswig-Holstein	18-30
10	3.25.20 9:50:40	3.25.20 9:51:04	anonymous		karantäne	Sachsen	Sachsen	18-30
11	3.25.20 9:53:16	3.25.20 9:54:02	anonymous		karantäne	Baden-Württemberg	Berlin	18-30
12	3.25.20 9:53:50	3.25.20 9:54:32	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
13	3.25.20 9:54:48	3.25.20 9:55:12	anonymous		karantäne	Baden-Württemberg	Sachsen	18-30
14	3.25.20 9:55:00	3.25.20 9:55:36	anonymous		karantäne	Sachsen	Sachsen	18-30
15	3.25.20 9:58:35	3.25.20 9:59:14	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	18-30
16	3.25.20 10:02:35	3.25.20 10:03:43	anonymous		karantäne	Niedersachsen	Baden-Württemberg	51-60
17	3.25.20 10:04:07	3.25.20 10:04:42	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	31-40
18	3.25.20 10:09:13	3.25.20 10:09:41	anonymous		karantäne	Berlin	Berlin	31-40
19	3.25.20 10:10:38	3.25.20 10:13:13	anonymous		kwarantäne	Italien 	Baden-Württemberg	51-60
20	3.25.20 10:19:05	3.25.20 10:20:06	anonymous		karantäne	Schleswig-Holstein	Sachsen	31-40
21	3.25.20 10:21:09	3.25.20 10:21:55	anonymous		karantäne	Berlin	Berlin	18-30
22	3.25.20 10:22:52	3.25.20 10:23:30	anonymous		karantäne	Sachsen	Sachsen	18-30
23	3.25.20 10:27:32	3.25.20 10:28:08	anonymous		karantäne	Baden-Württemberg	Mecklenburg-Vorpommern	18-30
24	3.25.20 10:28:08	3.25.20 10:28:43	anonymous		karantäne	Niedersachsen	Niedersachsen	51-60
25	3.25.20 10:30:36	3.25.20 10:31:02	anonymous		karantäne	Bayern	Bayern	31-40
26	3.25.20 10:30:49	3.25.20 10:31:24	anonymous		karantäne	Sachsen-Anhalt	Sachsen	18-30
27	3.25.20 10:31:09	3.25.20 10:31:34	anonymous		karantäne	Baden-Württemberg	Nordrhein-Westfalen	18-30
28	3.25.20 10:31:24	3.25.20 10:32:17	anonymous		karantäne	Nordrhein-Westfalen	Mecklenburg-Vorpommern	51-60
29	3.25.20 10:30:38	3.25.20 10:36:14	anonymous		karantäne	Berlin	Brandenburg	41-50
30	3.25.20 10:58:48	3.25.20 10:59:17	anonymous		karantäne	Sachsen-Anhalt	Sachsen	31-40
31	3.25.20 11:02:42	3.25.20 11:03:23	anonymous		karantäne	Sachsen-Anhalt	Niedersachsen	18-30
32	3.25.20 11:04:54	3.25.20 11:05:39	anonymous		karantäne	Nordrhein-Westfalen	Rheinland-Pfalz	31-40
33	3.25.20 11:06:35	3.25.20 11:07:08	anonymous		karantäne	Sachsen	Mecklenburg-Vorpommern	18-30
34	3.25.20 11:08:42	3.25.20 11:09:07	anonymous		karantäne	Hamburg	Hamburg	51-60
35	3.25.20 11:12:28	3.25.20 11:13:13	anonymous		karantäne	Mecklenburg-Vorpommern	Mecklenburg-Vorpommern	18-30
36	3.25.20 11:13:51	3.25.20 11:14:52	anonymous		karantäne	Niedersachsen	Hessen	31-40
37	3.25.20 11:20:38	3.25.20 11:21:28	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	18-30
38	3.25.20 11:24:11	3.25.20 11:24:36	anonymous		kwarantäne	Hessen	Baden-Württemberg	18-30
39	3.25.20 11:25:41	3.25.20 11:27:00	anonymous		karantäne	Sachsen-Anhalt	Mecklenburg-Vorpommern	18-30
40	3.25.20 11:36:21	3.25.20 11:36:43	anonymous		karantäne	Saarland	Berlin	31-40
41	3.25.20 11:39:55	3.25.20 11:40:31	anonymous		karantäne	Mecklenburg-Vorpommern	Mecklenburg-Vorpommern	18-30
42	3.25.20 11:43:58	3.25.20 11:44:16	anonymous		karantäne	Mecklenburg-Vorpommern	Mecklenburg-Vorpommern	31-40
43	3.25.20 11:49:04	3.25.20 11:49:53	anonymous		karantäne	Saarland	Bayern	31-40
44	3.25.20 11:51:05	3.25.20 11:51:23	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
45	3.25.20 11:59:22	3.25.20 11:59:46	anonymous		kwarantäne	Berlin	Berlin	18-30
46	3.25.20 12:05:26	3.25.20 12:06:00	anonymous		karantäne	Mecklenburg-Vorpommern	Mecklenburg-Vorpommern	31-40
47	3.25.20 11:45:09	3.25.20 12:10:03	anonymous		karantäne	Mecklenburg-Vorpommern	Mecklenburg-Vorpommern	18-30
48	3.25.20 12:10:04	3.25.20 12:10:44	anonymous		karantäne	Berlin	Berlin	18-30
49	3.25.20 12:12:39	3.25.20 12:13:28	anonymous		karantäne	Bayern	Mecklenburg-Vorpommern	18-30
50	3.25.20 12:18:00	3.25.20 12:18:24	anonymous		karantäne	Schleswig-Holstein	Schleswig-Holstein	18-30
51	3.25.20 12:24:04	3.25.20 12:24:34	anonymous		kwarantäne	Bayern	Berlin	31-40
52	3.25.20 12:25:36	3.25.20 12:26:27	anonymous		kwarantäne	Bayern	Bayern	41-50
53	3.25.20 12:51:10	3.25.20 12:51:40	anonymous		karantäne	Schleswig-Holstein	Mecklenburg-Vorpommern	18-30
54	3.25.20 13:00:47	3.25.20 13:01:11	anonymous		karantäne	Thüringen	Thüringen	18-30
55	3.25.20 13:08:18	3.25.20 13:08:45	anonymous		karantäne	Bayern	Thüringen	41-50
56	3.25.20 13:09:41	3.25.20 13:10:07	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
57	3.25.20 13:47:45	3.25.20 13:49:28	anonymous		Karantene 	Sachsen	Hessen	18-30
58	3.25.20 14:31:39	3.25.20 14:32:00	anonymous		karantäne	Mecklenburg-Vorpommern	Mecklenburg-Vorpommern	31-40
59	3.25.20 14:32:14	3.25.20 14:32:45	anonymous		karantäne	Rheinland-Pfalz	Mecklenburg-Vorpommern	18-30
60	3.25.20 14:37:45	3.25.20 14:38:14	anonymous		karantäne	Sachsen	Sachsen	31-40
61	3.25.20 14:41:07	3.25.20 14:41:49	anonymous		karantäne	Schleswig-Holstein	Mecklenburg-Vorpommern	18-30
62	3.25.20 14:53:11	3.25.20 14:53:39	anonymous		kwarantäne	Mecklenburg-Vorpommern	Mecklenburg-Vorpommern	31-40
63	3.25.20 15:00:28	3.25.20 15:01:09	anonymous		karantäne	Sachsen	Noch England, bald wieder Greifswald 	18-30
64	3.25.20 15:06:52	3.25.20 15:07:24	anonymous		karantäne	Hessen	Hamburg	51-60
65	3.25.20 15:22:22	3.25.20 15:23:06	anonymous		karantäne	Berlin	Berlin	31-40
66	3.25.20 15:25:27	3.25.20 15:25:50	anonymous		kwarantäne	Nordrhein-Westfalen	Bremen	41-50
67	3.25.20 15:24:49	3.25.20 15:26:16	anonymous		karantäne	Baden-Württemberg	Berlin	41-50
68	3.25.20 15:27:07	3.25.20 15:28:09	anonymous		karantäne	Niedersachsen	Berlin	41-50
